trial_number,seed,optuna_score,test_auc,test_loss,test_ece,test_mcc,temperature
80,8926,0.6798214129547575,0.5488895177841187,0.692084284112005,0.03060215339064598,0.07300280034542084,1.0951478958766196
80,77395,0.6798214129547575,0.5598958730697632,0.6923323527421101,0.05332908406853676,0.08729977160692215,0.7180695446402786
80,65457,0.6798214129547575,0.5761104822158813,0.6897275565874459,0.08045202493667603,0.1920546591281891,0.9912832130344197
61,8926,0.6815897623697916,0.5669713020324707,0.6886531716526145,0.05035712569952011,0.14197927713394165,0.7954393075011187
61,77395,0.6815897623697916,0.575324296951294,0.6888627156172649,0.06236705556511879,0.15637768805027008,0.42150083083995266
61,65457,0.6815897623697916,0.5365074872970581,0.6937098739170792,0.04749036207795143,0.022664006799459457,1.3022569941063635
6,8926,0.6791399296243392,0.5622543096542358,0.692616604342319,0.05871689319610596,0.05788618326187134,0.6786718238447739
6,77395,0.6791399296243392,0.5586183071136475,0.6932870090597927,0.05415879935026169,0.1316670924425125,0.652747913493905
6,65457,0.6791399296243392,0.5556702017784119,0.6880715247428063,0.02747383341193199,0.07930515706539154,0.6034777177568963
88,8926,0.6797731314132462,0.546531081199646,0.6910794701906714,0.037050340324640274,0.12201692909002304,2.2802062516431234
88,77395,0.6797731314132462,0.5296285152435303,0.6930435482818301,0.029495935887098312,0.05529287829995155,1.2832305684851555
88,65457,0.6797731314132462,0.5640231966972351,0.6900559227065285,0.0688135176897049,0.20228874683380127,0.7159318188372936
107,8926,0.6806454065427259,0.4841293394565582,0.6945406469968286,0.02016605995595455,-0.03372228890657425,1.556848647139097
107,77395,0.6806454065427259,0.5236340761184692,0.692264972346844,0.03290653973817825,-0.0035630359780043364,1.2697892661317265
107,65457,0.6806454065427259,0.4276729226112366,0.6935190635152383,0.041677676141262054,-0.10016971081495285,9.999996115107674
