team_picks,opponent_picks,picked_hero,win,match_id,start_time,patch_id
"[71, 9, 58, 44, 60]","[12, 1, 23, 56, 39]",58,0,2799983316,1479994584,18
"[43, 12, 57, 46, 11]","[2, 17, 6, 54, 32]",46,0,2800398050,1480006493,18
"[109, 35, 22, 6, 46]","[88, 33, 42, 27, 56]",109,1,2800487565,1480009622,18
"[42, 35, 21, 2, 6]","[99, 76, 62, 70, 81]",6,0,2802207744,1480082805,18
"[41, 98, 11, 30, 62]","[97, 72, 81, 96, 4]",41,1,2802345903,1480086111,18
"[14, 104, 100, 23, 30]","[69, 98, 111, 19, 8]",30,1,2802507298,1480090242,18
"[57, 34, 81, 10, 35]","[105, 70, 58, 62, 104]",81,0,2802617918,1480093405,18
"[19, 25, 76, 27, 28]","[40, 51, 90, 18, 1]",19,1,2803552477,1480135979,18
"[47, 103, 11, 30, 1]","[46, 41, 51, 63, 69]",11,0,2803881794,1480146804,18
"[57, 17, 9, 106, 4]","[113, 30, 18, 110, 46]",4,1,2806854376,1480241973,18
"[32, 15, 54, 71, 4]","[6, 104, 95, 39, 9]",32,1,2807406608,1480256000,18
"[15, 99, 88, 45, 11]","[70, 6, 2, 8, 100]",45,0,2809481170,1480341794,18
"[25, 41, 15, 45, 14]","[4, 86, 104, 44, 6]",45,1,2809571643,1480344218,18
"[18, 83, 57, 20, 14]","[41, 32, 11, 6, 40]",20,1,2809764324,1480350025,18
"[71, 61, 26, 18, 27]","[2, 3, 44, 93, 81]",61,0,2809970042,1480357559,18
"[62, 17, 61, 93, 5]","[84, 104, 14, 26, 42]",61,0,2810002358,1480358895,18
"[22, 61, 94, 54, 48]","[50, 104, 9, 72, 102]",48,0,2810100833,1480363340,18
"[14, 10, 36, 18, 56]","[41, 23, 15, 53, 98]",36,0,2810145876,1480365631,18
"[54, 85, 96, 31, 1]","[40, 35, 32, 71, 34]",31,1,2811591323,1480429726,18
"[16, 109, 81, 100, 63]","[44, 49, 71, 9, 93]",63,1,2811736123,1480433666,18
"[18, 75, 104, 25, 59]","[57, 76, 19, 48, 82]",75,1,2813533621,1480512287,18
"[61, 8, 97, 27, 81]","[47, 59, 9, 49, 108]",8,1,2813753989,1480518227,18
"[34, 36, 14, 18, 5]","[8, 32, 7, 57, 26]",36,1,2813853274,1480521178,18
"[56, 31, 3, 74, 32]","[110, 36, 19, 91, 83]",31,0,2813902016,1480522746,18
"[70, 113, 62, 23, 4]","[2, 49, 44, 63, 36]",62,0,2814119436,1480530782,18
"[75, 32, 25, 6, 18]","[55, 71, 20, 46, 34]",75,1,2815536241,1480597402,18
"[61, 44, 11, 93, 19]","[95, 18, 23, 7, 57]",61,0,2815668799,1480600846,18
"[42, 109, 2, 7, 47]","[14, 43, 54, 63, 32]",109,0,2815809935,1480604609,18
"[59, 57, 104, 36, 35]","[5, 20, 70, 34, 29]",36,1,2815887092,1480606811,18
"[39, 6, 74, 44, 95]","[57, 42, 3, 14, 32]",6,0,2816037318,1480611679,18
"[6, 74, 70, 25, 7]","[31, 95, 4, 44, 71]",6,1,2816112207,1480614350,18
"[104, 56, 13, 30, 87]","[112, 10, 63, 3, 74]",104,1,2820333779,1480775036,18
"[57, 63, 81, 9, 51]","[70, 20, 104, 50, 6]",81,1,2820637484,1480782913,18
"[46, 4, 12, 74, 8]","[6, 77, 26, 98, 44]",4,0,2820862993,1480789757,18
"[102, 87, 8, 70, 22]","[7, 40, 55, 84, 93]",87,1,2821991839,1480837516,18
"[79, 18, 48, 64, 32]","[30, 84, 93, 13, 99]",48,0,2822103524,1480840614,18
"[63, 18, 94, 93, 44]","[54, 11, 84, 35, 28]",63,1,2822171707,1480842495,18
"[84, 14, 65, 73, 9]","[22, 26, 70, 99, 59]",14,0,2823206096,1480869978,18
"[2, 85, 35, 87, 27]","[37, 25, 6, 44, 97]",35,0,2824901388,1480945769,18
"[61, 6, 28, 33, 59]","[8, 32, 104, 63, 9]",61,0,2825037535,1480949354,18
"[44, 47, 60, 94, 33]","[86, 91, 93, 35, 53]",47,1,2825121183,1480951722,18
"[67, 78, 35, 104, 14]","[42, 98, 11, 41, 18]",67,0,2825331574,1480958616,18
"[35, 104, 3, 41, 74]","[9, 50, 8, 99, 93]",35,0,2826894308,1481030848,18
"[41, 74, 32, 44, 84]","[106, 99, 22, 26, 83]",41,0,2826996456,1481033525,18
"[70, 74, 25, 26, 35]","[32, 22, 1, 14, 18]",35,1,2827179278,1481038616,18
"[1, 35, 9, 48, 12]","[34, 32, 96, 104, 37]",35,1,2827540774,1481051656,18
"[41, 74, 73, 5, 70]","[89, 65, 42, 76, 85]",41,1,2829061002,1481119504,18
"[104, 48, 88, 13, 63]","[28, 101, 46, 40, 8]",104,0,2831112457,1481206148,18
"[71, 70, 14, 61, 7]","[54, 36, 51, 49, 23]",61,0,2831296180,1481211095,18
"[35, 26, 44, 81, 107]","[74, 111, 57, 14, 1]",44,0,2831341419,1481212532,18
"[21, 62, 14, 9, 107]","[95, 64, 50, 48, 15]",62,0,2831379518,1481213699,18
"[102, 54, 11, 39, 5]","[49, 28, 59, 96, 93]",54,0,2831527007,1481218636,18
"[93, 12, 15, 41, 74]","[34, 14, 55, 48, 98]",41,0,2832728165,1481276967,18
"[109, 12, 89, 39, 54]","[58, 42, 60, 100, 48]",89,0,2833143135,1481288669,18
"[35, 57, 70, 54, 71]","[18, 14, 84, 12, 99]",35,1,2833229192,1481290645,18
"[22, 23, 2, 6, 76]","[27, 19, 48, 20, 69]",6,0,2833323250,1481292803,18
"[100, 41, 7, 84, 20]","[62, 98, 63, 101, 8]",84,1,2833485315,1481296677,18
"[39, 81, 111, 30, 20]","[48, 2, 60, 35, 41]",39,1,2833600714,1481299898,18
"[25, 71, 32, 59, 63]","[4, 46, 22, 44, 8]",63,0,2833753852,1481304500,18
"[32, 104, 30, 14, 42]","[28, 48, 71, 57, 21]",32,0,2833968345,1481311964,18
"[2, 44, 10, 32, 23]","[4, 50, 104, 25, 72]",23,1,2834990826,1481356369,18
"[8, 63, 44, 72, 67]","[25, 94, 48, 19, 101]",8,1,2835388122,1481367505,18
"[1, 96, 23, 36, 30]","[42, 48, 8, 41, 3]",23,0,2835482410,1481369878,18
"[2, 57, 80, 20, 103]","[101, 11, 67, 70, 75]",103,1,2835624362,1481373178,18
"[108, 62, 25, 3, 59]","[60, 87, 75, 14, 4]",108,0,2837326666,1481429519,18
"[100, 50, 56, 77, 23]","[54, 62, 95, 106, 65]",100,0,2837491851,1481435211,18
"[5, 106, 60, 28, 94]","[95, 7, 15, 37, 61]",94,0,2838534635,1481462366,18
"[39, 84, 14, 10, 104]","[54, 98, 73, 37, 80]",84,1,2838649617,1481464913,18
"[85, 65, 4, 1, 40]","[70, 17, 20, 2, 76]",85,0,2838758162,1481467433,18
"[42, 57, 70, 47, 62]","[73, 26, 58, 1, 80]",42,0,2839407686,1481487232,18
"[47, 10, 8, 33, 111]","[28, 15, 104, 100, 97]",47,1,2840981532,1481551117,18
"[99, 100, 42, 14, 93]","[12, 23, 57, 28, 8]",99,0,2841096704,1481553961,18
"[7, 42, 112, 11, 17]","[56, 26, 23, 72, 37]",7,1,2841214130,1481557053,18
"[59, 80, 27, 86, 28]","[37, 74, 11, 70, 47]",80,0,2841558739,1481568162,18
"[105, 40, 85, 93, 28]","[11, 30, 58, 9, 8]",85,1,2843651807,1481646206,19
"[12, 54, 25, 44, 86]","[70, 107, 6, 100, 56]",86,1,2843815935,1481650384,19
"[47, 56, 57, 44, 23]","[7, 74, 35, 19, 114]",57,1,2843886212,1481652347,19
"[11, 35, 7, 44, 70]","[104, 109, 14, 114, 81]",11,0,2844115296,1481659601,19
"[98, 11, 104, 32, 74]","[114, 25, 97, 85, 4]",98,1,2845643603,1481720859,19
"[12, 22, 73, 8, 29]","[42, 88, 16, 94, 44]",12,0,2845860774,1481725502,19
"[27, 74, 8, 114, 70]","[64, 71, 54, 14, 12]",8,1,2848264611,1481812900,19
"[114, 54, 8, 67, 63]","[98, 44, 32, 95, 27]",8,0,2848621300,1481822733,19
"[114, 6, 54, 46, 47]","[5, 8, 107, 4, 71]",47,1,2850643494,1481901129,19
"[48, 114, 47, 107, 25]","[8, 83, 70, 98, 14]",47,1,2851959733,1481953599,19
"[93, 101, 25, 47, 114]","[14, 100, 49, 57, 44]",47,0,2854911205,1482046995,19
"[3, 33, 98, 104, 28]","[73, 114, 110, 32, 70]",28,1,2855175909,1482054144,19
"[86, 9, 37, 8, 47]","[59, 56, 62, 35, 58]",47,1,2855268006,1482056602,19
"[28, 9, 8, 22, 20]","[11, 82, 64, 70, 34]",28,1,2858259188,1482162733,19
"[28, 114, 50, 36, 8]","[31, 5, 74, 44, 18]",28,1,2860539377,1482252333,19
"[88, 65, 103, 19, 9]","[44, 8, 104, 30, 76]",88,0,2860638284,1482255786,19
"[54, 81, 57, 11, 93]","[75, 35, 99, 114, 47]",11,1,2860758008,1482260288,19
"[78, 32, 104, 28, 114]","[74, 22, 62, 10, 17]",28,1,2862451095,1482333327,20
"[28, 86, 41, 75, 44]","[114, 73, 81, 62, 5]",28,0,2862911451,1482350292,20
"[112, 5, 114, 113, 70]","[6, 48, 14, 7, 86]",112,0,2862961343,1482352689,20
"[12, 101, 59, 108, 26]","[11, 90, 4, 53, 35]",59,0,2864221774,1482411637,20
"[32, 70, 114, 20, 71]","[48, 44, 10, 6, 90]",71,1,2864327859,1482414327,20
"[98, 105, 35, 62, 2]","[19, 26, 4, 46, 36]",35,1,2864378920,1482415613,20
"[36, 68, 48, 6, 99]","[30, 88, 4, 102, 67]",68,0,2864871867,1482429899,20
"[36, 54, 33, 81, 4]","[31, 49, 40, 46, 21]",4,1,2868983568,1482596841,20
"[71, 5, 104, 56, 8]","[21, 114, 76, 14, 70]",71,1,2870490350,1482657772,20
"[102, 63, 90, 68, 34]","[37, 33, 69, 41, 72]",63,1,2870647488,1482662368,20
"[110, 40, 7, 8, 11]","[88, 68, 44, 33, 19]",7,0,2870767694,1482665729,20
"[68, 85, 104, 15, 9]","[42, 26, 44, 72, 30]",9,1,2880501305,1483032855,20
"[104, 19, 14, 42, 71]","[114, 16, 44, 97, 22]",71,0,2880613879,1483036871,20
"[9, 104, 20, 32, 38]","[75, 12, 4, 42, 48]",38,0,2885472042,1483217908,20
"[4, 65, 54, 5, 105]","[57, 71, 18, 49, 29]",105,0,2885526047,1483221035,20
"[104, 108, 6, 56, 4]","[22, 83, 95, 63, 29]",6,0,2889162573,1483361088,20
"[76, 20, 94, 25, 70]","[48, 88, 12, 1, 44]",20,1,2889321588,1483365056,20
"[33, 32, 20, 49, 104]","[8, 44, 13, 30, 63]",33,1,2894290039,1483557307,20
"[62, 28, 75, 114, 34]","[59, 45, 103, 15, 49]",62,1,2894355456,1483559983,20
"[1, 57, 110, 15, 33]","[44, 50, 42, 52, 46]",110,1,2895455495,1483613487,20
"[71, 22, 8, 85, 108]","[47, 6, 57, 98, 35]",71,0,2895583611,1483617336,20
